Sample ID,HHID,Block,Village,Cvillage,Location,Date,Sample source,Csamplesource,Omit,Dilution,Coliforms_CFU,Ecoli_CFU,CFU_100mL,Log10CFU,Methoderror,,,,
201,GUH9,Ghatol,Udpura,3,3,22/11/2019,Soil,9,0,1000,24,144,144000,5.16,0,,,,
202,GUH10,Ghatol,Udpura,3,3,22/11/2019,HP,1,0,1,124,28,28,1.45,0,,,,
203,GUH10,Ghatol,Udpura,3,3,22/11/2019,SW,2,0,10,300+,36,360,2.56,0,,,,
204,GUH10,Ghatol,Udpura,3,3,22/11/2019,CH,7,0,2,300+,124,248,2.39,0,,,,
205,GUH10,Ghatol,Udpura,3,3,22/11/2019,MH,8,0,2,300+,141,282,2.45,0,,,,
206,GUH10,Ghatol,Udpura,3,3,22/11/2019,floor swab 10cm2,11,0,10,78,300+,3000,3.48,3,,,,
207,KBH9,Kushalgarh,Bansri,4,3,23/11/2019,HP,1,0,1,18,0,0,0.00,0,,,,
208,KBH9,Kushalgarh,Bansri,4,3,23/11/2019,SW,2,0,10,28,49,490,2.69,0,,,,
209,KBH9,Kushalgarh,Bansri,4,3,23/11/2019,MH,8,0,4,300+,300+,1200,3.08,3,,,,
210,KBH9,Kushalgarh,Bansri,4,3,23/11/2019,CH,7,0,10,144,43,430,2.63,0,,,,
211,KBH9,Kushalgarh,Bansri,4,3,23/11/2019,S,9,0,1000,60,175,175000,5.24,0,,,,
212,KBH10,Kushalgarh,Bansri,4,3,23/11/2019,HP,1,0,1,4,0,0,0.00,0,,,,
213,KBH10,Kushalgarh,Bansri,4,3,23/11/2019,SW,2,0,10,120,40,400,2.60,0,,,,
214,KBH10,Kushalgarh,Bansri,4,3,23/11/2019,MH,8,0,10,300+,20,200,2.30,0,,,,
215,KBH10,Kushalgarh,Bansri,4,3,23/11/2019,CH,7,0,10,300+,92,920,2.96,0,,,,
216,KBH10,Kushalgarh,Bansri,4,3,23/11/2019,soil,9,0,1000,300+,50,50000,4.70,0,,,,
217,KDH11,Kushalgarh,DevdaSath,2,3,27/11/2019,HP1 (drink),1,0,1,86,29,29,1.46,0,,,,
218,KDH11,Kushalgarh,DevdaSath,2,3,27/11/2019,HP2 (drink),1,0,1,250,24,24,1.38,0,,,,
219,KDH11,Kushalgarh,DevdaSath,2,3,27/11/2019,HP3 (hygiene),1,0,1,1,2,2,0.30,2,,,,
220,KDH11,Kushalgarh,DevdaSath,2,3,27/11/2019,SW,2,0,10,30,26,260,2.41,0,,,,
221,KDH11,Kushalgarh,DevdaSath,2,3,27/11/2019,CH,7,0,10,79,53,530,2.72,0,,,,
222,KDH11,Kushalgarh,DevdaSath,2,3,27/11/2019,MH,8,0,10,97,54,540,2.73,0,,,,
223,KDH11,Kushalgarh,DevdaSath,2,3,27/11/2019,soil,9,0,1000,300+,300+,300000,5.48,0,,,,
224,GUH11,Ghatol,Udpura,3,3,28/11/2019,RO,6,0,1,64,0,0,0.00,0,,,,
225,GUH11,Ghatol,Udpura,3,3,28/11/2019,borewell,6,0,1,300+,0,0,0.00,0,,,,
226,GUH11,Ghatol,Udpura,3,3,28/11/2019,SW (borewell source),4,0,10,300+,120,1200,3.08,0,,,,
